1	2	3
1	2	4
1	2	5
2	5	6
2	5	7
3	2	4
3	2	5
4	2	5
5	7	8
5	7	9
6	5	7
7	9	10
7	9	11
7	9	24
8	7	9
9	11	12
9	11	13
9	11	17
9	24	25
9	24	26
10	9	11
10	9	24
11	9	24
11	13	14
11	13	15
11	13	16
11	17	18
11	17	19
11	17	20
12	11	13
12	11	17
13	11	17
14	13	15
14	13	16
15	13	16
17	20	21
17	20	22
17	20	23
18	17	19
18	17	20
19	17	20
21	20	22
21	20	23
22	20	23
24	26	27
24	26	28
25	24	26
26	28	29
26	28	30
26	28	31
29	28	30
29	28	31
30	28	31



21	23	24
21	23	25
22	21	23
23	25	26
23	25	27
23	25	28
24	23	25
26	25	27
26	25	28
27	25	28
